assertion_id,band,calibration,ctas_received_at,detection,difference_photometry,exposure_seconds,flux,flux_error,flux_unit,instrument,jd,limiting_magnitude,magnitude_system,mjd,observed_at,original_band,original_time,photometry_method,pipeline,provider,provider_observation_id,quality_flags,signal_to_noise,source_record_id,source_url,summary,superseded,telescope,magnitude,magnitude_error
0add71c0-fbc2-4d02-b76a-a53ae0af95ad,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.902298Z,0,1,30.0,0.0,25.0,uJy,tphot PSF fitting,2461248.615067,19.21234684152075,AB,61248.115067,2026-07-27T02:45:41.788800Z,o,2026-07-27 02:45:41.788800+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:b4d6d7084d4316bdaaf3d29ee1187a07,"[""low-snr"",""southern-template-discontinuity-caution""]",0.0,a40a79a7-205c-416f-badb-a9363bf27fc8,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0915o; chi/N=0.93; source mag5sig=18.85,0,ATLAS,,
c46622bb-f1da-491c-9476-6145d4de9a23,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.909756Z,0,1,30.0,35.0,20.0,uJy,tphot PSF fitting,2461248.616884,19.45462187404089,AB,61248.116884,2026-07-27T02:48:18.777600Z,o,2026-07-27 02:48:18.777600+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:53ffd01ea5abf286a0b3b73fc68fa36b,"[""low-snr"",""southern-template-discontinuity-caution""]",1.75,071cccf7-f125-4530-bf7e-0cb586d99e11,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61248o0919o; chi/N=1.01; source mag5sig=18.84,0,ATLAS,,
b5a7ab21-b9a0-4d59-9218-5793663e375c,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.916690Z,0,1,30.0,-24.0,19.0,uJy,tphot PSF fitting,2461254.603004,19.51031286081877,AB,61254.103004,2026-08-02T02:28:19.545600Z,o,2026-08-02 02:28:19.545600+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:79f8163c3eb368b3a0b93149de91250e,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-1.263157894736842,88be83b6-5855-4ef2-b3a4-28e4a334d8fe,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61254o0894o; chi/N=1.04; source mag5sig=18.98,0,ATLAS,,
0004f189-d8a2-4c67-ab6c-fdf316f944d5,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.923694Z,0,1,30.0,26.0,20.0,uJy,tphot PSF fitting,2461254.606176,19.45462187404089,AB,61254.106176,2026-08-02T02:32:53.606400Z,o,2026-08-02 02:32:53.606400+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:dec6eeb152211ebad8f1b10bed7f03ec,"[""low-snr"",""southern-template-discontinuity-caution""]",1.3,88c2dd62-7b51-41df-b975-f734fc530a9f,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61254o0901o; chi/N=1.04; source mag5sig=18.92,0,ATLAS,,
3df0b94f-725e-4f7b-9e27-95446a53f968,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.930653Z,0,1,30.0,-15.0,18.0,uJy,tphot PSF fitting,2461254.608953,19.569015600442576,AB,61254.108953,2026-08-02T02:36:53.539200Z,o,2026-08-02 02:36:53.539200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:889446624665f1174721ad6822708620,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.8333333333333334,79551ddb-d42e-4ac5-9811-76fe42cf9901,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61254o0907o; chi/N=1.07; source mag5sig=18.99,0,ATLAS,,
29b67f78-7d56-4f7c-afb2-9a752d1c6c99,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.937769Z,0,1,30.0,-2.0,17.0,uJy,tphot PSF fitting,2461254.618978,19.631074559755156,AB,61254.118978,2026-08-02T02:51:19.699200Z,o,2026-08-02 02:51:19.699200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:41b3a741c20c2685ebb39b754d1647a5,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.11764705882352941,14fdb0ea-d332-4219-92a2-73dbc6faee27,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61254o0928o; chi/N=0.96; source mag5sig=18.98,0,ATLAS,,
5c83e0ee-f73a-4af2-be0c-326bf694c8cb,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.944793Z,0,1,30.0,-20.0,16.0,uJy,tphot PSF fitting,2461260.626081,19.69689690656103,AB,61260.126081,2026-08-08T03:01:33.398400Z,o,2026-08-08 03:01:33.398400+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:c23e66d311704ac12d82ebaa2125f949,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-1.25,d013fdf4-21c1-4bc9-82ee-6766188615e7,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61260o0913o; chi/N=1.03; source mag5sig=19.2,0,ATLAS,,
dd94ac9a-c620-4d1c-a64c-a2f3552e9930,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.951531Z,0,1,30.0,16.0,13.0,uJy,tphot PSF fitting,2461260.636931,19.92233848243375,AB,61260.136931,2026-08-08T03:17:10.838400Z,o,2026-08-08 03:17:10.838400+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:d99fad75f4bdc8bc114fe9f975f64f60,"[""low-snr"",""southern-template-discontinuity-caution""]",1.2307692307692308,fc2b9b7c-62b9-45f7-beef-c7f8a0f00855,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61260o0937o; chi/N=1.23; source mag5sig=19.35,0,ATLAS,,
352315ab-4d0b-4d5d-a49d-a2a0eb45a508,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.958320Z,0,1,30.0,-1.0,13.0,uJy,tphot PSF fitting,2461260.640097,19.92233848243375,AB,61260.140097,2026-08-08T03:21:44.380800Z,o,2026-08-08 03:21:44.380800+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:8bcfdb535e116406bceecdbced58f00e,"[""low-snr"",""negative-difference-flux"",""southern-template-discontinuity-caution""]",-0.07692307692307693,23e0e4e3-afbe-4c3b-8713-b67738853867,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61260o0944o; chi/N=1.12; source mag5sig=19.37,0,ATLAS,,
f6c5c11b-13c8-4b37-8637-a6a9e8fc833e,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.964933Z,0,1,30.0,8.0,12.0,uJy,tphot PSF fitting,2461260.642833,20.00924374808178,AB,61260.142833,2026-08-08T03:25:40.771200Z,o,2026-08-08 03:25:40.771200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:2820b43dd274c1b8e3daf06283916c81,"[""low-snr"",""southern-template-discontinuity-caution""]",0.6666666666666666,978d9387-f3c5-44aa-8dc0-35519a397ec3,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61260o0950o; chi/N=1.01; source mag5sig=19.38,0,ATLAS,,
acc8fbe2-8610-401e-8536-33c14b4e20bc,o,ATLAS Refcat2 image zeropoint,2026-08-26T21:00:20.971286Z,1,1,30.0,61.0,12.0,uJy,tphot PSF fitting,2461266.619868,,AB,61266.119868,2026-08-14T02:52:36.595200Z,o,2026-08-14 02:52:36.595200+00:00,forced-psf,ATLAS forced-photometry service,atlas,atlas-forced:98bd85d449e8eca027c03a419c4c7f0e,"[""southern-template-discontinuity-caution""]",5.083333333333333,e6b998ba-b53e-446b-9e1a-452084db97fb,https://fallingstar-data.com/forcedphot/resultdesc/,ATLAS tphot forced difference-flux measurement; source exposure 03a61266o0917o; chi/N=1.34; source mag5sig=19.33,0,ATLAS,19.432,0.196
